symbol,option_type,current_price,strike,expiration,DTE,bid,ask,lastPrice,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,collected_at,mid_price,bid_ask_spread,relative_spread,volume_oi_ratio,moneyness,distance_pct,contract_multiplier,estimated_traded_premium,price_source,volume_source,oi_source,iv_source,mid_price_source,premium_source,underlying_price,delta,gamma,vega,delta_source,gamma_source,vega_source,greeks_status,trade_side_estimate,trade_side_source,open_close_estimate,open_close_source,flow_score,call_put_flow,estimated_directional_premium,flow_rank,option_count,total_volume,total_premium,call_premium,put_premium,call_put_premium_imbalance,symbol_flow_score,symbol_flow_rank,flow_reason
SPY,CALL,773.260009765625,540.0,2026-10-16,69,234.36,237.56,213.41,0.0,0.0,1,2,0.5404709039306643,True,REGULAR,USD,2026-08-08 16:02:49 UTC,235.96,3.1999999999999886,0.0135616206136632,0.5,-0.3016579246563211,-30.16579246563211,100,23596.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,773.260009765625,0.9532865484402944,0.0005375437776214,0.3283926931317247,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.799914589081766,23596.0,0.0,12456,6261,2980685,1272364007.5,975634659.0,296729348.5,0.5335778963395426,76.50366844509314,2,Premium activity | Call premium dominance
GOOG,PUT,353.4700012207031,370.0,2026-08-28,20,18.45,20.65,19.42,1.210001,6.6447062,5,222,0.299262378540039,True,REGULAR,USD,2026-08-08 16:03:21 UTC,19.549999999999997,2.2,0.1125319693094629,0.02252252252252252,0.046764926930745986,4.676492693074598,100,9774.999999999998,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,353.4700012207031,-0.7211028961869932,0.0135687088955656,0.2779923869406229,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.794203033543965,-9774.999999999998,0.0,12457,1221,99634,115632532.0,90285733.5,25346798.5,0.5615974490639019,16.923961735958528,10,Premium activity | Call premium dominance | Near-term concentration
SPY,PUT,773.260009765625,719.0,2026-08-13,5,0.03,0.04,0.1,0.0,0.0,100,167,0.2246171289062499,False,REGULAR,USD,2026-08-08 16:02:46 UTC,0.035,0.01,0.2857142857142857,0.5988023952095808,-0.07017045894054602,-7.017045894054602,100,350.00000000000006,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,773.260009765625,-0.0025439935444232,0.0003878412393665,0.0071355113088123,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.7931048165531,-350.00000000000006,0.0,12458,6261,2980685,1272364007.5,975634659.0,296729348.5,0.5335778963395426,76.50366844509314,2,Premium activity | Call premium dominance | Near-term concentration
AMZN,CALL,274.4800109863281,200.0,2026-09-11,34,74.05,77.4,77.8,2.6500015,3.5262828,1,2,0.659183095703125,True,REGULAR,USD,2026-08-08 16:03:11 UTC,75.725,3.3500000000000085,0.0442390227797954,0.5,-0.27134948996354413,-27.134948996354414,100,7572.499999999999,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,274.4800109863281,0.9547326028434754,0.0017246797735806,0.0797851432710116,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,UNKNOWN,ESTIMATED,51.788272957743914,7572.499999999999,7572.499999999999,12459,1203,386778,257734395.5,206490952.5,51243443.0,0.6023546418739442,52.035319628109164,5,Premium activity | Call premium dominance | Buy-side estimate | Near-term concentration
QQQ,PUT,723.030029296875,623.0,2026-10-30,83,5.69,5.82,6.63,0.0,0.0,6,4,0.2763439065551757,False,REGULAR,USD,2026-08-08 16:02:56 UTC,5.755000000000001,0.1299999999999999,0.0225890529973935,1.5,-0.13834837454006052,-13.834837454006053,100,3453.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,723.030029296875,-0.1029576764786321,0.0018814567667222,0.6180762189124396,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.78741522625484,-3453.0,0.0,12460,5579,1461354,1052583304.0,604520804.5,448062499.5,0.14864220665996808,60.22963309989952,4,Volume/OI surge | Premium activity
SPY,CALL,773.260009765625,500.0,2026-10-30,83,274.93,278.13,257.14,0.0,0.0,15,0,0.5471847039794924,True,REGULAR,USD,2026-08-08 16:02:49 UTC,276.53,3.1999999999999886,0.01157198134018,,-0.35338696727437136,-35.33869672743714,100,414795.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,773.260009765625,0.9668425598495652,0.0003663080686193,0.2725315351961806,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.786330992883734,414795.0,0.0,12461,6261,2980685,1272364007.5,975634659.0,296729348.5,0.5335778963395426,76.50366844509314,2,Premium activity | Call premium dominance
MSFT,PUT,499.989990234375,440.0,2026-09-04,27,1.31,1.56,1.5,-0.35000002,-18.918919,40,707,0.3291693060302734,False,REGULAR,USD,2026-08-08 16:03:07 UTC,1.435,0.25,0.1742160278745644,0.056577086280056574,-0.11998238245980511,-11.998238245980511,100,5740.000000000001,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,499.989990234375,-0.0661025515281581,0.0028697722221878,0.1746868762634495,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.78289807583333,-5740.000000000001,0.0,12462,1820,282886,365225039.0,303315373.0,61909666.0,0.6609779758282126,38.91466963742319,9,Premium activity | Call premium dominance | Near-term concentration
SPY,CALL,773.260009765625,925.0,2027-01-15,160,0.77,0.79,0.77,0.06999999,9.999999,156,1524,0.1394129028320312,False,REGULAR,USD,2026-08-08 16:02:51 UTC,0.78,0.02,0.0256410256410256,0.10236220472440945,0.196234110542413,19.6234110542413,100,12168.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,773.260009765625,0.0440898121536646,0.0013063416148128,0.4773511261376877,CALCULATED,CALCULATED,CALCULATED,CALCULATED,SELL EST.,ESTIMATED,UNKNOWN,ESTIMATED,51.78165275186101,12168.0,-12168.0,12463,6261,2980685,1272364007.5,975634659.0,296729348.5,0.5335778963395426,76.50366844509314,2,Premium activity | Call premium dominance | Sell-side estimate
AMD,PUT,483.3599853515625,790.0,2026-11-20,104,307.65,314.3,302.28,0.0,0.0,2,23,0.5720562814331055,True,REGULAR,USD,2026-08-08 16:03:16 UTC,310.975,6.650000000000034,0.0213843556555994,0.08695652173913043,0.6343926347676646,63.43926347676646,100,62195.00000000001,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,483.3599853515625,-0.9220264356155984,0.0009878541815967,0.3761953868521596,CALCULATED,CALCULATED,CALCULATED,CALCULATED,UNKNOWN,ESTIMATED,UNKNOWN,ESTIMATED,51.78011850600213,-62195.00000000001,0.0,12464,2677,257051,469427007.0,325263274.0,144163733.0,0.3857885002342867,51.2868275035143,6,Premium activity | Call premium dominance
AMD,PUT,483.3599853515625,430.0,2026-12-18,132,42.8,44.75,44.55,0.32999802,0.74626416,10,464,0.614460032196045,False,REGULAR,USD,2026-08-08 16:03:16 UTC,43.775,1.9500000000000028,0.0445459737292976,0.021551724137931036,-0.11039388234165091,-11.039388234165092,100,43775.0,REAL,REAL,REAL,REAL,CALCULATED,CALCULATED,483.3599853515625,-0.2944357052877749,0.0019300753704366,1.0020522425971763,CALCULATED,CALCULATED,CALCULATED,CALCULATED,BUY EST.,ESTIMATED,UNKNOWN,ESTIMATED,51.77323487448545,-43775.0,43775.0,12465,2677,257051,469427007.0,325263274.0,144163733.0,0.3857885002342867,51.2868275035143,6,Premium activity | Call premium dominance | Buy-side estimate
